,주야간,구,노면상태,기상상태,주야간_risk,구_risk,노면상태_risk,기상상태_risk,total_risk,corr_risk,주야간_eclo,구_eclo,노면상태_eclo,기상상태_eclo,eclo_risk_sum,eclo_risk_mul
0,주간,권선구,건조,맑음,2,4,5,5,16,24.3635535,4.476795931,4.588550984,4.444769141,4.460807601,33.97092366,71.83567951
1,주간,권선구,건조,비,2,4,5,4,15,22.76053081,4.476795931,4.588550984,4.444769141,4.798319328,33.30843538,68.72491881
2,주간,팔달구,건조,맑음,2,3,5,5,15,22.88682221,4.476795931,4.363636364,4.444769141,4.460807601,32.74600904,66.57238466
3,주간,권선구,젖음/습기,맑음,2,4,4,5,15,22.76053081,4.476795931,4.588550984,4.841059603,4.460807601,33.36721412,68.97607221
4,야간,권선구,건조,맑음,1,4,5,5,15,23.15035279,4.488599349,4.588550984,4.444769141,4.460807601,32.98272707,67.37068699
5,주간,권선구,서리/결빙,맑음,2,4,3,5,14,21.15750812,4.476795931,4.588550984,4.875,4.460807601,32.40115452,64.2368338
6,야간,권선구,젖음/습기,맑음,1,4,4,5,14,21.5473301,4.488599349,4.588550984,4.841059603,4.460807601,32.37901754,64.5110797
7,주간,권선구,건조,흐림,2,4,5,3,14,21.15750812,4.476795931,4.588550984,4.444769141,4.421875,31.93199106,62.7972665
8,주간,팔달구,건조,비,2,3,5,4,14,21.28379952,4.476795931,4.363636364,4.444769141,4.798319328,32.08352076,63.46162397
9,주간,팔달구,젖음/습기,맑음,2,3,4,5,14,21.28379952,4.476795931,4.363636364,4.841059603,4.460807601,32.1422995,63.71277737
10,주간,권선구,젖음/습기,비,2,4,4,4,14,21.15750812,4.476795931,4.588550984,4.841059603,4.798319328,32.70472585,65.86531152
11,야간,권선구,건조,비,1,4,5,4,14,21.5473301,4.488599349,4.588550984,4.444769141,4.798319328,32.3202388,64.2599263
12,야간,팔달구,건조,맑음,1,3,5,5,14,21.67362149,4.488599349,4.363636364,4.444769141,4.460807601,31.75781245,62.10739215
13,주간,장안구,건조,맑음,2,2,5,5,14,21.41009091,4.476795931,4.474332649,4.444769141,4.460807601,31.85670532,62.43014087
14,야간,권선구,젖음/습기,비,1,4,4,4,13,19.94430741,4.488599349,4.588550984,4.841059603,4.798319328,31.71652926,61.40031901
15,야간,권선구,서리/결빙,맑음,1,4,3,5,13,19.94430741,4.488599349,4.588550984,4.875,4.460807601,31.41295793,59.77184129
16,야간,장안구,건조,맑음,1,2,5,5,13,20.1968902,4.488599349,4.474332649,4.444769141,4.460807601,30.86850874,57.96514836
17,주간,장안구,건조,비,2,2,5,4,13,19.80706822,4.476795931,4.474332649,4.444769141,4.798319328,31.19421705,59.31938018
18,주간,권선구,건조,눈,2,4,5,2,13,19.55448544,4.476795931,4.588550984,4.444769141,3.571428571,30.08154463,56.67449865
19,주간,영통구,건조,맑음,2,1,5,5,13,19.93335962,4.476795931,4.492957746,4.444769141,4.460807601,30.87533042,57.97443332
20,주간,팔달구,젖음/습기,비,2,3,4,4,13,19.68077683,4.476795931,4.363636364,4.841059603,4.798319328,31.47981123,60.60201668
21,주간,팔달구,서리/결빙,맑음,2,3,3,5,13,19.68077683,4.476795931,4.363636364,4.875,4.460807601,31.1762399,58.97353896
22,야간,팔달구,건조,비,1,3,5,4,13,20.0705988,4.488599349,4.363636364,4.444769141,4.798319328,31.09532418,58.99663145
23,주간,팔달구,건조,흐림,2,3,5,3,13,19.68077683,4.476795931,4.363636364,4.444769141,4.421875,30.70707644,57.53397166
24,야간,팔달구,젖음/습기,맑음,1,3,4,5,13,20.0705988,4.488599349,4.363636364,4.841059603,4.460807601,31.15410292,59.24778485
25,주간,장안구,젖음/습기,맑음,2,2,4,5,13,19.80706822,4.476795931,4.474332649,4.841059603,4.460807601,31.25299578,59.57053358
26,야간,권선구,건조,흐림,1,4,5,3,13,19.94430741,4.488599349,4.588550984,4.444769141,4.421875,30.94379447,58.33227399
27,주간,권선구,서리/결빙,비,2,4,3,4,13,19.55448544,4.476795931,4.588550984,4.875,4.798319328,31.73866624,61.12607311
28,주간,권선구,기타,맑음,2,4,2,5,13,19.55448544,4.476795931,4.588550984,4.666666667,4.460807601,31.19282118,58.94516714
29,주간,권선구,젖음/습기,흐림,2,4,4,3,13,19.55448544,4.476795931,4.588550984,4.841059603,4.421875,31.32828152,59.93765921
30,야간,장안구,젖음/습기,맑음,1,2,4,5,12,18.59386751,4.488599349,4.474332649,4.841059603,4.460807601,30.2647992,55.10554106
31,주간,권선구,적설,맑음,2,4,1,5,12,17.95146275,4.476795931,4.588550984,4.25,4.460807601,29.77615452,53.8618338
32,야간,팔달구,건조,흐림,1,3,5,3,12,18.46757611,4.488599349,4.363636364,4.444769141,4.421875,29.71887985,53.06897914
33,주간,팔달구,서리/결빙,비,2,3,3,4,12,18.07775414,4.476795931,4.363636364,4.875,4.798319328,30.51375162,55.86277826
34,주간,권선구,기타,비,2,4,2,4,12,17.95146275,4.476795931,4.588550984,4.666666667,4.798319328,30.53033291,55.83440644
35,주간,팔달구,젖음/습기,흐림,2,3,4,3,12,18.07775414,4.476795931,4.363636364,4.841059603,4.421875,30.1033669,54.67436436
36,야간,권선구,건조,눈,1,4,5,2,12,18.34128472,4.488599349,4.588550984,4.444769141,3.571428571,29.09334804,52.20950613
37,주간,팔달구,기타,맑음,2,3,2,5,12,18.07775414,4.476795931,4.363636364,4.666666667,4.460807601,29.96790656,53.68187229
38,주간,영통구,건조,비,2,1,5,4,12,18.33033693,4.476795931,4.492957746,4.444769141,4.798319328,30.21284215,54.86367262
39,야간,장안구,건조,비,1,2,5,4,12,18.59386751,4.488599349,4.474332649,4.444769141,4.798319328,30.20602047,54.85438766
40,주간,팔달구,건조,눈,2,3,5,2,12,18.07775414,4.476795931,4.363636364,4.444769141,3.571428571,28.85663001,51.4112038
41,주간,권선구,건조,기타,2,4,5,1,12,17.95146275,4.476795931,4.588550984,4.444769141,4.833333333,30.34344939,54.36497484
42,주간,영통구,젖음/습기,맑음,2,1,4,5,12,18.33033693,4.476795931,4.492957746,4.841059603,4.460807601,30.27162088,55.11482602
43,야간,권선구,기타,맑음,1,4,2,5,12,18.34128472,4.488599349,4.588550984,4.666666667,4.460807601,30.2046246,54.48017462
44,주간,권선구,젖음/습기,눈,2,4,4,2,12,17.95146275,4.476795931,4.588550984,4.841059603,3.571428571,29.47783509,53.81489135
45,야간,권선구,젖음/습기,흐림,1,4,4,3,12,18.34128472,4.488599349,4.588550984,4.841059603,4.421875,30.34008494,55.47266669
46,야간,권선구,서리/결빙,비,1,4,3,4,12,18.34128472,4.488599349,4.588550984,4.875,4.798319328,30.75046966,56.6610806
47,야간,팔달구,서리/결빙,맑음,1,3,3,5,12,18.46757611,4.488599349,4.363636364,4.875,4.460807601,30.18804331,54.50854644
48,주간,장안구,건조,흐림,2,2,5,3,12,18.20404554,4.476795931,4.474332649,4.444769141,4.421875,29.81777272,53.39172786
49,주간,장안구,젖음/습기,비,2,2,4,4,12,18.20404554,4.476795931,4.474332649,4.841059603,4.798319328,30.59050751,56.45977288
50,주간,권선구,서리/결빙,흐림,2,4,3,3,12,17.95146275,4.476795931,4.588550984,4.875,4.421875,30.36222192,55.1984208
51,주간,장안구,서리/결빙,맑음,2,2,3,5,12,18.20404554,4.476795931,4.474332649,4.875,4.460807601,30.28693618,54.83129517
52,야간,팔달구,젖음/습기,비,1,3,4,4,12,18.46757611,4.488599349,4.363636364,4.841059603,4.798319328,30.49161464,56.13702416
53,야간,영통구,건조,맑음,1,1,5,5,12,18.7201589,4.488599349,4.492957746,4.444769141,4.460807601,29.88713384,53.5094408
54,주간,권선구,적설,비,2,4,1,4,11,16.34844006,4.476795931,4.588550984,4.25,4.798319328,29.11366624,50.75107311
55,야간,장안구,건조,흐림,1,2,5,3,11,16.99084482,4.488599349,4.474332649,4.444769141,4.421875,28.82957614,48.92673535
56,주간,영통구,건조,흐림,2,1,5,3,11,16.72731424,4.476795931,4.492957746,4.444769141,4.421875,28.83639782,48.93602031
57,주간,장안구,젖음/습기,흐림,2,2,4,3,11,16.60102285,4.476795931,4.474332649,4.841059603,4.421875,29.21406318,50.53212057
58,주간,영통구,서리/결빙,맑음,2,1,3,5,11,16.72731424,4.476795931,4.492957746,4.875,4.460807601,29.30556128,50.37558761
59,야간,영통구,건조,비,1,1,5,4,11,17.11713621,4.488599349,4.492957746,4.444769141,4.798319328,29.22464556,50.39868011
60,야간,권선구,적설,맑음,1,4,1,5,11,16.73826203,4.488599349,4.588550984,4.25,4.460807601,28.78795793,49.39684129
61,야간,권선구,기타,비,1,4,2,4,11,16.73826203,4.488599349,4.588550984,4.666666667,4.798319328,29.54213633,51.36941393
62,야간,팔달구,서리/결빙,비,1,3,3,4,11,16.86455342,4.488599349,4.363636364,4.875,4.798319328,29.52555504,51.39778575
63,주간,장안구,서리/결빙,비,2,2,3,4,11,16.60102285,4.476795931,4.474332649,4.875,4.798319328,29.62444791,51.72053447
64,야간,장안구,서리/결빙,맑음,1,2,3,5,11,16.99084482,4.488599349,4.474332649,4.875,4.460807601,29.2987396,50.36630265
65,야간,영통구,젖음/습기,맑음,1,1,4,5,11,17.11713621,4.488599349,4.492957746,4.841059603,4.460807601,29.2834243,50.64983351
66,야간,권선구,젖음/습기,눈,1,4,4,2,11,16.73826203,4.488599349,4.588550984,4.841059603,3.571428571,28.48963851,49.34989884
67,야간,권선구,서리/결빙,흐림,1,4,3,3,11,16.73826203,4.488599349,4.588550984,4.875,4.421875,29.37402533,50.73342828
68,주간,권선구,젖음/습기,기타,2,4,4,1,11,16.34844006,4.476795931,4.588550984,4.841059603,4.833333333,29.73973985,51.50536754
69,주간,장안구,건조,눈,2,2,5,2,11,16.60102285,4.476795931,4.474332649,4.444769141,3.571428571,27.96732629,47.26896001
70,야간,권선구,건조,기타,1,4,5,1,11,16.73826203,4.488599349,4.588550984,4.444769141,4.833333333,29.35525281,49.89998232
71,주간,영통구,젖음/습기,비,2,1,4,4,11,16.72731424,4.476795931,4.492957746,4.841059603,4.798319328,29.60913261,52.00406533
72,주간,권선구,기타,흐림,2,4,2,3,11,16.34844006,4.476795931,4.588550984,4.666666667,4.421875,29.15388858,49.90675413
73,주간,팔달구,젖음/습기,눈,2,3,4,2,11,16.47473145,4.476795931,4.363636364,4.841059603,3.571428571,28.25292047,48.55159651
74,주간,장안구,기타,맑음,2,2,2,5,11,16.60102285,4.476795931,4.474332649,4.666666667,4.460807601,29.07860285,49.5396285
75,주간,팔달구,건조,기타,2,3,5,1,11,16.47473145,4.476795931,4.363636364,4.444769141,4.833333333,29.11853477,49.10167999
76,야간,팔달구,젖음/습기,흐림,1,3,4,3,11,16.86455342,4.488599349,4.363636364,4.841059603,4.421875,29.11517031,50.20937185
77,주간,팔달구,서리/결빙,흐림,2,3,3,3,11,16.47473145,4.476795931,4.363636364,4.875,4.421875,29.13730729,49.93512595
78,야간,팔달구,기타,맑음,1,3,2,5,11,16.86455342,4.488599349,4.363636364,4.666666667,4.460807601,28.97970998,49.21687978
79,야간,팔달구,건조,눈,1,3,5,2,11,16.86455342,4.488599349,4.363636364,4.444769141,3.571428571,27.86843342,46.94621129
80,주간,권선구,서리/결빙,눈,2,4,3,2,11,16.34844006,4.476795931,4.588550984,4.875,3.571428571,28.51177549,49.07565294
81,주간,팔달구,기타,비,2,3,2,4,11,16.47473145,4.476795931,4.363636364,4.666666667,4.798319328,29.30541829,50.5711116
82,야간,장안구,젖음/습기,비,1,2,4,4,11,16.99084482,4.488599349,4.474332649,4.841059603,4.798319328,29.60231093,51.99478037
83,주간,팔달구,적설,맑음,2,3,1,5,11,16.47473145,4.476795931,4.363636364,4.25,4.460807601,28.5512399,48.59853896
84,야간,장안구,기타,맑음,1,2,2,5,10,15.38782213,4.488599349,4.474332649,4.666666667,4.460807601,28.09040627,45.07463598
85,야간,팔달구,젖음/습기,눈,1,3,4,2,10,15.26153074,4.488599349,4.363636364,4.841059603,3.571428571,27.26472389,44.08660399
86,야간,팔달구,서리/결빙,흐림,1,3,3,3,10,15.26153074,4.488599349,4.363636364,4.875,4.421875,28.14911071,45.47013344
87,주간,권선구,서리/결빙,기타,2,4,3,1,10,14.74541737,4.476795931,4.588550984,4.875,4.833333333,28.77368025,46.76612913
88,야간,권선구,서리/결빙,눈,1,4,3,2,10,15.13523934,4.488599349,4.588550984,4.875,3.571428571,27.5235789,44.61066043
89,야간,팔달구,건조,기타,1,3,5,1,10,15.26153074,4.488599349,4.363636364,4.444769141,4.833333333,28.13033819,44.63668748
90,야간,영통구,젖음/습기,비,1,1,4,4,10,15.51411352,4.488599349,4.492957746,4.841059603,4.798319328,28.62093603,47.53907282
91,야간,장안구,건조,눈,1,2,5,2,10,15.38782213,4.488599349,4.474332649,4.444769141,3.571428571,26.97912971,42.80396749
92,야간,권선구,적설,비,1,4,1,4,10,15.13523934,4.488599349,4.588550984,4.25,4.798319328,28.12546966,46.2860806
93,주간,장안구,건조,기타,2,2,5,1,10,14.99800016,4.476795931,4.474332649,4.444769141,4.833333333,28.22923105,44.9594362
94,야간,팔달구,기타,비,1,3,2,4,10,15.26153074,4.488599349,4.363636364,4.666666667,4.798319328,28.31722171,46.10611908
95,야간,영통구,서리/결빙,맑음,1,1,3,5,10,15.51411352,4.488599349,4.492957746,4.875,4.460807601,28.3173647,45.9105951
96,야간,영통구,건조,흐림,1,1,5,3,10,15.51411352,4.488599349,4.492957746,4.444769141,4.421875,27.84820124,44.4710278
97,야간,권선구,기타,흐림,1,4,2,3,10,15.13523934,4.488599349,4.588550984,4.666666667,4.421875,28.165692,45.44176162
98,야간,팔달구,적설,맑음,1,3,1,5,10,15.26153074,4.488599349,4.363636364,4.25,4.460807601,27.56304331,44.13354644
99,야간,장안구,젖음/습기,흐림,1,2,4,3,10,15.38782213,4.488599349,4.474332649,4.841059603,4.421875,28.2258666,46.06712806
100,야간,장안구,서리/결빙,비,1,2,3,4,10,15.38782213,4.488599349,4.474332649,4.875,4.798319328,28.63625133,47.25554196
101,야간,권선구,젖음/습기,기타,1,4,4,1,10,15.13523934,4.488599349,4.588550984,4.841059603,4.833333333,28.75154327,47.04037503
102,주간,권선구,기타,눈,2,4,2,2,10,14.74541737,4.476795931,4.588550984,4.666666667,3.571428571,27.30344215,43.78398627
103,주간,영통구,젖음/습기,흐림,2,1,4,3,10,15.12429155,4.476795931,4.492957746,4.841059603,4.421875,28.23268828,46.07641302
104,주간,장안구,서리/결빙,흐림,2,2,3,3,10,14.99800016,4.476795931,4.474332649,4.875,4.421875,28.24800358,45.79288216
105,주간,장안구,젖음/습기,눈,2,2,4,2,10,14.99800016,4.476795931,4.474332649,4.841059603,3.571428571,27.36361675,44.40935271
106,주간,장안구,기타,비,2,2,2,4,10,14.99800016,4.476795931,4.474332649,4.666666667,4.798319328,28.41611457,46.4288678
107,주간,장안구,적설,맑음,2,2,1,5,10,14.99800016,4.476795931,4.474332649,4.25,4.460807601,27.66193618,44.45629517
108,주간,권선구,적설,흐림,2,4,1,3,10,14.74541737,4.476795931,4.588550984,4.25,4.421875,27.73722192,44.8234208
109,주간,팔달구,서리/결빙,눈,2,3,3,2,10,14.87170876,4.476795931,4.363636364,4.875,3.571428571,27.28686087,43.8123581
110,주간,팔달구,기타,흐림,2,3,2,3,10,14.87170876,4.476795931,4.363636364,4.666666667,4.421875,27.92897396,44.64345929
111,주간,팔달구,적설,비,2,3,1,4,10,14.87170876,4.476795931,4.363636364,4.25,4.798319328,27.88875162,45.48777826
112,주간,영통구,건조,눈,2,1,5,2,10,15.12429155,4.476795931,4.492957746,4.444769141,3.571428571,26.98595139,42.81325246
113,주간,영통구,서리/결빙,비,2,1,3,4,10,15.12429155,4.476795931,4.492957746,4.875,4.798319328,28.64307301,47.26482692
114,주간,팔달구,젖음/습기,기타,2,3,4,1,10,14.87170876,4.476795931,4.363636364,4.841059603,4.833333333,28.51482523,46.2420727
115,주간,영통구,기타,맑음,2,1,2,5,10,15.12429155,4.476795931,4.492957746,4.666666667,4.460807601,28.09722795,45.08392095
116,야간,장안구,젖음/습기,눈,1,2,4,2,9,13.78479944,4.488599349,4.474332649,4.841059603,3.571428571,26.37542017,39.9443602
117,야간,팔달구,젖음/습기,기타,1,3,4,1,9,13.65850805,4.488599349,4.363636364,4.841059603,4.833333333,27.52662865,41.77708018
118,야간,팔달구,적설,비,1,3,1,4,9,13.65850805,4.488599349,4.363636364,4.25,4.798319328,26.90055504,41.02278575
119,주간,팔달구,기타,눈,2,3,2,2,9,13.26868607,4.476795931,4.363636364,4.666666667,3.571428571,26.07852753,38.52069143
120,주간,장안구,기타,흐림,2,2,2,3,9,13.39497747,4.476795931,4.474332649,4.666666667,4.421875,27.03967025,40.50121549
121,야간,팔달구,기타,흐림,1,3,2,3,9,13.65850805,4.488599349,4.363636364,4.666666667,4.421875,26.94077738,40.17846677
122,야간,장안구,기타,비,1,2,2,4,9,13.78479944,4.488599349,4.474332649,4.666666667,4.798319328,27.42791799,41.96387529
123,야간,장안구,적설,맑음,1,2,1,5,9,13.78479944,4.488599349,4.474332649,4.25,4.460807601,26.6737396,39.99130265
124,주간,영통구,적설,맑음,2,1,1,5,9,13.52126886,4.476795931,4.492957746,4.25,4.460807601,26.68056128,40.00058761
125,주간,권선구,기타,기타,2,4,2,1,9,13.14239468,4.476795931,4.588550984,4.666666667,4.833333333,27.56534692,41.47446246
126,주간,장안구,젖음/습기,기타,2,2,4,1,9,13.39497747,4.476795931,4.474332649,4.841059603,4.833333333,27.62552152,42.0998289
127,주간,장안구,적설,비,2,2,1,4,9,13.39497747,4.476795931,4.474332649,4.25,4.798319328,26.99944791,41.34553447
128,주간,팔달구,서리/결빙,기타,2,3,3,1,9,13.26868607,4.476795931,4.363636364,4.875,4.833333333,27.54876563,41.50283429
129,주간,영통구,기타,비,2,1,2,4,9,13.52126886,4.476795931,4.492957746,4.666666667,4.798319328,27.43473967,41.97316025
130,주간,권선구,적설,눈,2,4,1,2,9,13.14239468,4.476795931,4.588550984,4.25,3.571428571,25.88677549,38.70065294
131,야간,권선구,서리/결빙,기타,1,4,3,1,9,13.53221665,4.488599349,4.588550984,4.875,4.833333333,27.78548367,42.30113662
132,야간,팔달구,서리/결빙,눈,1,3,3,2,9,13.65850805,4.488599349,4.363636364,4.875,3.571428571,26.29866428,39.34736558
133,야간,영통구,건조,눈,1,1,5,2,9,13.91109084,4.488599349,4.492957746,4.444769141,3.571428571,25.99775481,38.34825994
134,야간,권선구,기타,눈,1,4,2,2,9,13.53221665,4.488599349,4.588550984,4.666666667,3.571428571,26.31524557,39.31899376
135,주간,팔달구,적설,흐림,2,3,1,3,9,13.26868607,4.476795931,4.363636364,4.25,4.421875,26.51230729,39.56012595
136,주간,영통구,젖음/습기,눈,2,1,4,2,9,13.52126886,4.476795931,4.492957746,4.841059603,3.571428571,26.38224185,39.95364516
137,야간,장안구,서리/결빙,흐림,1,2,3,3,9,13.78479944,4.488599349,4.474332649,4.875,4.421875,27.259807,41.32788965
138,야간,영통구,기타,맑음,1,1,2,5,9,13.91109084,4.488599349,4.492957746,4.666666667,4.460807601,27.10903136,40.61892843
139,야간,권선구,적설,흐림,1,4,1,3,9,13.53221665,4.488599349,4.588550984,4.25,4.421875,26.74902533,40.35842828
140,야간,영통구,서리/결빙,비,1,1,3,4,9,13.91109084,4.488599349,4.492957746,4.875,4.798319328,27.65487642,42.79983441
141,야간,장안구,건조,기타,1,2,5,1,9,13.78479944,4.488599349,4.474332649,4.444769141,4.833333333,27.24103447,40.49444368
142,주간,장안구,서리/결빙,눈,2,2,3,2,9,13.39497747,4.476795931,4.474332649,4.875,3.571428571,26.39755715,39.6701143
143,주간,영통구,서리/결빙,흐림,2,1,3,3,9,13.52126886,4.476795931,4.492957746,4.875,4.421875,27.26662868,41.33717461
144,주간,영통구,건조,기타,2,1,5,1,9,13.52126886,4.476795931,4.492957746,4.444769141,4.833333333,27.24785615,40.50372865
145,야간,영통구,젖음/습기,흐림,1,1,4,3,9,13.91109084,4.488599349,4.492957746,4.841059603,4.421875,27.2444917,41.61142051
146,주간,장안구,적설,흐림,2,2,1,3,8,11.79195478,4.476795931,4.474332649,4.25,4.421875,25.62300358,35.41788216
147,야간,영통구,적설,맑음,1,1,1,5,8,12.30806815,4.488599349,4.492957746,4.25,4.460807601,25.6923647,35.5355951
148,야간,영통구,기타,비,1,1,2,4,8,12.30806815,4.488599349,4.492957746,4.666666667,4.798319328,26.44654309,37.50816774
149,야간,팔달구,기타,눈,1,3,2,2,8,12.05548536,4.488599349,4.363636364,4.666666667,3.571428571,25.09033095,34.05569892
150,야간,팔달구,서리/결빙,기타,1,3,3,1,8,12.05548536,4.488599349,4.363636364,4.875,4.833333333,26.56056905,37.03784177
151,야간,영통구,젖음/습기,눈,1,1,4,2,8,12.30806815,4.488599349,4.492957746,4.841059603,3.571428571,25.39404527,35.48865265
152,야간,영통구,서리/결빙,흐림,1,1,3,3,8,12.30806815,4.488599349,4.492957746,4.875,4.421875,26.2784321,36.8721821
153,야간,팔달구,적설,흐림,1,3,1,3,8,12.05548536,4.488599349,4.363636364,4.25,4.421875,25.52411071,35.09513344
154,주간,장안구,서리/결빙,기타,2,2,3,1,8,11.79195478,4.476795931,4.474332649,4.875,4.833333333,26.65946191,37.36059049
155,주간,장안구,기타,눈,2,2,2,2,8,11.79195478,4.476795931,4.474332649,4.666666667,3.571428571,25.18922382,34.37844764
156,야간,영통구,건조,기타,1,1,5,1,8,12.30806815,4.488599349,4.492957746,4.444769141,4.833333333,26.25965957,36.03873613
157,주간,영통구,젖음/습기,기타,2,1,4,1,8,11.91824617,4.476795931,4.492957746,4.841059603,4.833333333,26.64414661,37.64412135
158,주간,권선구,적설,기타,2,4,1,1,8,11.53937199,4.476795931,4.588550984,4.25,4.833333333,26.14868025,36.39112913
159,주간,영통구,적설,비,2,1,1,4,8,11.91824617,4.476795931,4.492957746,4.25,4.798319328,26.01807301,36.88982692
160,야간,장안구,기타,흐림,1,2,2,3,8,12.18177675,4.488599349,4.474332649,4.666666667,4.421875,26.05147366,36.03622298
161,주간,팔달구,기타,기타,2,3,2,1,8,11.66566338,4.476795931,4.363636364,4.666666667,4.833333333,26.34043229,36.21116762
162,야간,장안구,젖음/습기,기타,1,2,4,1,8,12.18177675,4.488599349,4.474332649,4.841059603,4.833333333,26.63732493,37.63483639
163,야간,장안구,서리/결빙,눈,1,2,3,2,8,12.18177675,4.488599349,4.474332649,4.875,3.571428571,25.40936057,35.20512179
164,주간,영통구,기타,흐림,2,1,2,3,8,11.91824617,4.476795931,4.492957746,4.666666667,4.421875,26.05829534,36.04550794
165,주간,영통구,서리/결빙,눈,2,1,3,2,8,11.91824617,4.476795931,4.492957746,4.875,3.571428571,25.41618225,35.21440675
166,야간,권선구,적설,눈,1,4,1,2,8,11.92919396,4.488599349,4.588550984,4.25,3.571428571,24.8985789,34.23566043
167,야간,권선구,기타,기타,1,4,2,1,8,11.92919396,4.488599349,4.588550984,4.666666667,4.833333333,26.57715033,37.00946995
168,야간,장안구,적설,비,1,2,1,4,8,12.18177675,4.488599349,4.474332649,4.25,4.798319328,26.01125133,36.88054196
169,주간,팔달구,적설,눈,2,3,1,2,8,11.66566338,4.476795931,4.363636364,4.25,3.571428571,24.66186087,33.4373581
170,야간,권선구,적설,기타,1,4,1,1,7,10.32617127,4.488599349,4.588550984,4.25,4.833333333,25.16048367,31.92613662
171,야간,영통구,젖음/습기,기타,1,1,4,1,7,10.70504546,4.488599349,4.492957746,4.841059603,4.833333333,25.65595003,33.17912884
172,야간,장안구,서리/결빙,기타,1,2,3,1,7,10.57875406,4.488599349,4.474332649,4.875,4.833333333,25.67126533,32.89559798
173,주간,영통구,기타,눈,2,1,2,2,7,10.31522348,4.476795931,4.492957746,4.666666667,3.571428571,24.20784892,29.92274009
174,야간,영통구,기타,흐림,1,1,2,3,7,10.70504546,4.488599349,4.492957746,4.666666667,4.421875,25.07009876,31.58051543
175,주간,팔달구,적설,기타,2,3,1,1,7,10.06264069,4.476795931,4.363636364,4.25,4.833333333,24.92376563,31.12783429
176,야간,영통구,서리/결빙,눈,1,1,3,2,7,10.70504546,4.488599349,4.492957746,4.875,3.571428571,24.42798567,30.74941424
177,주간,영통구,서리/결빙,기타,2,1,3,1,7,10.31522348,4.476795931,4.492957746,4.875,4.833333333,25.67808701,32.90488294
178,주간,영통구,적설,흐림,2,1,1,3,7,10.31522348,4.476795931,4.492957746,4.25,4.421875,24.64162868,30.96217461
179,야간,영통구,적설,비,1,1,1,4,7,10.70504546,4.488599349,4.492957746,4.25,4.798319328,25.02987642,32.42483441
180,야간,장안구,기타,눈,1,2,2,2,7,10.57875406,4.488599349,4.474332649,4.666666667,3.571428571,24.20102724,29.91345512
181,주간,장안구,적설,눈,2,2,1,2,7,10.18893209,4.476795931,4.474332649,4.25,3.571428571,23.77255715,29.2951143
182,야간,팔달구,적설,눈,1,3,1,2,7,10.45246267,4.488599349,4.363636364,4.25,3.571428571,23.67366428,28.97236558
183,야간,장안구,적설,흐림,1,2,1,3,7,10.57875406,4.488599349,4.474332649,4.25,4.421875,24.634807,30.95288965
184,주간,장안구,기타,기타,2,2,2,1,7,10.18893209,4.476795931,4.474332649,4.666666667,4.833333333,25.45112858,32.06892383
185,야간,팔달구,기타,기타,1,3,2,1,7,10.45246267,4.488599349,4.363636364,4.666666667,4.833333333,25.35223571,31.74617511
186,주간,영통구,적설,눈,2,1,1,2,6,8.712200795,4.476795931,4.492957746,4.25,3.571428571,22.79118225,24.83940675
187,야간,영통구,적설,흐림,1,1,1,3,6,9.102022768,4.488599349,4.492957746,4.25,4.421875,23.6534321,26.4971821
188,야간,영통구,기타,눈,1,1,2,2,6,9.102022768,4.488599349,4.492957746,4.666666667,3.571428571,23.21965233,25.45774757
189,주간,장안구,적설,기타,2,2,1,1,6,8.5859094,4.476795931,4.474332649,4.25,4.833333333,24.03446191,26.98559049
190,주간,영통구,기타,기타,2,1,2,1,6,8.712200795,4.476795931,4.492957746,4.666666667,4.833333333,24.46975368,27.61321628
191,야간,장안구,기타,기타,1,2,2,1,6,8.975731373,4.488599349,4.474332649,4.666666667,4.833333333,24.462932,27.60393131
192,야간,영통구,서리/결빙,기타,1,1,3,1,6,9.102022768,4.488599349,4.492957746,4.875,4.833333333,24.68989043,28.43989043
193,야간,팔달구,적설,기타,1,3,1,1,6,8.849439979,4.488599349,4.363636364,4.25,4.833333333,23.93556905,26.66284177
194,야간,장안구,적설,눈,1,2,1,2,6,8.975731373,4.488599349,4.474332649,4.25,3.571428571,22.78436057,24.83012179
195,주간,영통구,적설,기타,2,1,1,1,5,7.109178106,4.476795931,4.492957746,4.25,4.833333333,23.05308701,22.52988294
196,야간,영통구,기타,기타,1,1,2,1,5,7.499000078,4.488599349,4.492957746,4.666666667,4.833333333,23.4815571,23.14822376
197,야간,장안구,적설,기타,1,2,1,1,5,7.372708684,4.488599349,4.474332649,4.25,4.833333333,23.04626533,22.52059798
198,야간,영통구,적설,눈,1,1,1,2,5,7.499000078,4.488599349,4.492957746,4.25,3.571428571,21.80298567,20.37441424
199,야간,영통구,적설,기타,1,1,1,1,4,5.895977389,4.488599349,4.492957746,4.25,4.833333333,22.06489043,18.06489043
